mean_decision_time,name,points,steps,timestamp,total_steps
0.0502644885670055,random_package_random_drop,-1.0,22.0,1550157810.584314,22.0
0.03897509154151468,random_package_random_drop,-1.0,34.0,1550157810.803648,34.0
0.02508953521991598,random_package_random_drop,-1.0,87.0,1550157811.661313,87.0
0.02513842691074718,random_package_random_drop,1.0,88.0,1550157811.6907039,88.0
0.02171600375856672,random_package_random_drop,-1.0,140.0,1550157812.518813,140.0
0.02168531451664918,random_package_random_drop,-1.0,141.0,1550157812.536242,141.0
0.021654812382980133,random_package_random_drop,-1.0,142.0,1550157812.5535822,142.0
0.02162201087791603,random_package_random_drop,-1.0,143.0,1550157812.570522,143.0
0.02159728937678867,random_package_random_drop,-1.0,144.0,1550157812.588643,144.0
0.021701817676938812,random_package_random_drop,-1.0,145.0,1550157812.625387,145.0
0.02167667264807714,random_package_random_drop,-1.0,146.0,1550157812.6434062,146.0
0.021587151248438827,random_package_random_drop,-1.0,147.0,1550157812.6519449,147.0
0.02156964347169206,random_package_random_drop,-1.0,148.0,1550157812.670913,148.0
0.02154328999103316,random_package_random_drop,-1.0,149.0,1550157812.68854,149.0
0.021547547976175942,random_package_random_drop,-1.0,150.0,1550157812.7106931,150.0
0.021536868139608017,random_package_random_drop,-1.0,151.0,1550157812.730735,151.0
0.021602152209532887,random_package_random_drop,-1.0,152.0,1550157812.7621078,152.0
0.021516231150408974,random_package_random_drop,1.0,153.0,1550157812.770667,153.0
0.021535969399786616,random_package_random_drop,-1.0,154.0,1550157812.795147,154.0
0.02146384023850964,random_package_random_drop,-1.0,155.0,1550157812.8055072,155.0
0.02144202207907652,random_package_random_drop,-1.0,156.0,1550157812.8236558,156.0
0.02004219084670863,random_package_random_drop,1.0,194.0,1550157813.366854,194.0
0.018055065914436622,random_package_random_drop,1.0,324.0,1550157815.328616,324.0
0.017875185983623573,random_package_random_drop,-1.0,334.0,1550157815.449093,334.0
0.017861688797397447,random_package_random_drop,-1.0,343.0,1550157815.60539,343.0
0.017853386873422666,random_package_random_drop,-1.0,344.0,1550157815.620343,344.0
0.017858348376509074,random_package_random_drop,-1.0,345.0,1550157815.6399202,345.0
0.01788503517305231,random_package_random_drop,1.0,346.0,1550157815.667016,346.0
0.01792247563342883,random_package_random_drop,-1.0,347.0,1550157815.697851,347.0
0.017917095929726786,random_package_random_drop,-1.0,348.0,1550157815.713956,348.0
0.017935883349880447,random_package_random_drop,-1.0,349.0,1550157815.738448,349.0
0.01799875448009098,random_package_random_drop,-1.0,359.0,1550157815.940325,359.0
0.01750155197125729,random_package_random_drop,1.0,428.0,1550157816.969748,428.0
0.01720111230969189,random_package_random_drop,-1.0,497.0,1550157818.027942,497.0
0.01720153804932812,random_package_random_drop,1.0,521.0,1550157818.440994,521.0
0.016827898422876995,random_package_random_drop,1.0,600.0,1550157819.575762,600.0
0.016866870187408296,random_package_random_drop,-1.0,603.0,1550157819.649761,603.0
0.016731103261311848,random_package_random_drop,-1.0,660.0,1550157820.5216398,660.0
0.016698866115558816,random_package_random_drop,1.0,678.0,1550157820.800939,678.0
0.01645963791153194,random_package_random_drop,1.0,764.0,1550157822.0543811,764.0
0.01641536539687918,random_package_random_drop,-1.0,794.0,1550157822.513031,794.0
0.01642298906781105,random_package_random_drop,1.0,801.0,1550157822.6341062,801.0
0.016247009248973574,random_package_random_drop,1.0,874.0,1550157823.679168,874.0
0.01624008649567242,random_package_random_drop,-1.0,877.0,1550157823.7218409,877.0
0.016201805068430785,random_package_random_drop,-1.0,906.0,1550157824.1581209,906.0
0.016205059259702774,random_package_random_drop,-1.0,907.0,1550157824.177289,907.0
0.016196380627838,random_package_random_drop,-1.0,908.0,1550157824.185655,908.0
0.016197479203982717,random_package_random_drop,-1.0,909.0,1550157824.202805,909.0
0.016195457584255345,random_package_random_drop,-1.0,910.0,1550157824.21718,910.0
0.016194178165640973,random_package_random_drop,-1.0,911.0,1550157824.232247,911.0
0.01619402645972737,random_package_random_drop,-1.0,912.0,1550157824.248271,912.0
0.016191727490963054,random_package_random_drop,-1.0,913.0,1550157824.2623858,913.0
0.01620374075432575,random_package_random_drop,-1.0,914.0,1550157824.289556,914.0
0.016208450390341505,random_package_random_drop,-1.0,915.0,1550157824.310029,915.0
0.016207846231335636,random_package_random_drop,-1.0,916.0,1550157824.325769,916.0
0.016199505056133708,random_package_random_drop,-1.0,917.0,1550157824.334301,917.0
0.016205042341481086,random_package_random_drop,1.0,920.0,1550157824.387975,920.0
0.016094983110622484,random_package_random_drop,-1.0,980.0,1550157825.2525172,980.0
