mean_decision_time,points,steps,timestamp
0.026594418399738817,2.0,53.0,1552216405.119997
0.025922987677834252,1.0,55.0,1552216405.133465
0.020274618497261636,3.0,104.0,1552216405.818571
0.017756248853221444,1.0,161.0,1552216406.566475
0.017621573878497613,2.0,164.0,1552216406.5991948
0.01609874845625044,2.0,222.0,1552216407.28339
0.016101817999567305,1.0,224.0,1552216407.3142772
0.015464243972510621,1.0,285.0,1552216408.114989
0.015424918797281053,1.0,288.0,1552216408.150468
0.015395560757867221,1.0,290.0,1552216408.172214
0.0146482602143899,2.0,351.0,1552216408.850647
0.014654806104757018,1.0,354.0,1552216408.895273
0.014098568189711797,1.0,420.0,1552216409.6290739
0.014080900151582691,2.0,422.0,1552216409.6509042
0.01370186306709467,1.0,516.0,1552216410.7780302
0.013690245657814055,1.0,518.0,1552216410.799207
0.013698730267398417,1.0,521.0,1552216410.844727
0.013502851901994857,2.0,578.0,1552216411.5136662
0.013511836939844592,1.0,580.0,1552216411.544737
0.013453041505889166,2.0,631.0,1552216412.198312
0.013460891506683205,1.0,633.0,1552216412.228568
0.013334762138377709,2.0,693.0,1552216412.950193
0.013343352353435823,1.0,696.0,1552216412.9948769
0.013315734737797787,2.0,760.0,1552216413.8291788
0.013310280997609216,1.0,762.0,1552216413.850467
0.013249446012107074,1.0,817.0,1552216414.5331688
0.01325875898686851,1.0,820.0,1552216414.580184
0.013264635473562273,1.0,822.0,1552216414.611547
0.013164807283999831,2.0,883.0,1552216415.333895
0.01317505642738084,1.0,886.0,1552216415.381412
0.01313820720221926,2.0,948.0,1552216416.16433
0.013135555540098879,1.0,951.0,1552216416.200511
