dropped,latency,steps,timestamp
1.0,60.0,675.0,1551182868.06511
1.0,109.0,676.0,1551182868.080472
1.0,676.0,676.0,1551182868.0815701
1.0,71.0,687.0,1551182868.234178
1.0,599.0,695.0,1551182868.333882
1.0,697.0,697.0,1551182868.367518
1.0,261.0,701.0,1551182868.418106
1.0,140.0,701.0,1551182868.419573
1.0,116.0,704.0,1551182868.459239
1.0,55.0,705.0,1551182868.469864
1.0,149.0,707.0,1551182868.502173
1.0,714.0,714.0,1551182868.6019971
1.0,523.0,715.0,1551182868.618865
1.0,371.0,719.0,1551182868.678297
1.0,331.0,727.0,1551182868.781281
1.0,731.0,731.0,1551182868.830661
1.0,104.0,734.0,1551182868.868532
1.0,384.0,736.0,1551182868.900574
1.0,107.0,737.0,1551182868.9171169
1.0,242.0,746.0,1551182869.032245
1.0,172.0,747.0,1551182869.0510652
1.0,91.0,747.0,1551182869.052299
1.0,381.0,747.0,1551182869.053279
1.0,158.0,752.0,1551182869.1312141
1.0,258.0,753.0,1551182869.147447
1.0,92.0,764.0,1551182869.2961679
1.0,364.0,774.0,1551182869.440166
1.0,155.0,780.0,1551182869.51663
1.0,278.0,784.0,1551182869.568296
1.0,404.0,784.0,1551182869.569773
1.0,788.0,788.0,1551182869.6319702
1.0,573.0,789.0,1551182869.650815
1.0,107.0,789.0,1551182869.652024
1.0,412.0,796.0,1551182869.744979
1.0,72.0,798.0,1551182869.780451
1.0,108.0,801.0,1551182869.832762
1.0,119.0,805.0,1551182869.886014
1.0,720.0,809.0,1551182869.944768
1.0,167.0,815.0,1551182870.030165
1.0,125.0,818.0,1551182870.067421
1.0,823.0,823.0,1551182870.137811
1.0,151.0,823.0,1551182870.139049
1.0,175.0,826.0,1551182870.181636
1.0,334.0,829.0,1551182870.2316291
1.0,323.0,839.0,1551182870.36346
1.0,846.0,846.0,1551182870.449415
1.0,852.0,852.0,1551182870.529228
1.0,174.0,854.0,1551182870.562321
1.0,212.0,856.0,1551182870.585587
1.0,101.0,857.0,1551182870.601237
1.0,340.0,860.0,1551182870.649302
1.0,436.0,868.0,1551182870.7478242
1.0,87.0,869.0,1551182870.763736
1.0,461.0,875.0,1551182870.84462
1.0,32.0,877.0,1551182870.86906
1.0,258.0,879.0,1551182870.90604
1.0,880.0,880.0,1551182870.9174469
1.0,626.0,881.0,1551182870.942513
1.0,355.0,885.0,1551182870.997623
1.0,67.0,895.0,1551182871.116895
1.0,562.0,898.0,1551182871.1655629
1.0,558.0,900.0,1551182871.198457
1.0,332.0,904.0,1551182871.248412
1.0,339.0,915.0,1551182871.40155
1.0,133.0,917.0,1551182871.433111
1.0,577.0,918.0,1551182871.4496598
1.0,920.0,920.0,1551182871.479331
1.0,209.0,924.0,1551182871.529451
1.0,294.0,931.0,1551182871.620589
1.0,130.0,931.0,1551182871.621808
1.0,536.0,936.0,1551182871.680784
1.0,87.0,938.0,1551182871.71204
1.0,166.0,941.0,1551182871.761226
1.0,361.0,941.0,1551182871.762454
1.0,60.0,944.0,1551182871.807206
1.0,38.0,948.0,1551182871.861909
1.0,161.0,953.0,1551182871.9340281
1.0,236.0,956.0,1551182871.969286
1.0,148.0,967.0,1551182872.111089
1.0,175.0,967.0,1551182872.112362
1.0,972.0,972.0,1551182872.182962
1.0,137.0,977.0,1551182872.25144
1.0,97.0,979.0,1551182872.282284
1.0,387.0,985.0,1551182872.36729
1.0,501.0,985.0,1551182872.3682508
1.0,351.0,988.0,1551182872.4097788
1.0,932.0,998.0,1551182872.532827
1.0,396.0,998.0,1551182872.5339258
1.0,232.0,1000.0,1551182872.566889
0.0,1000.0,1000.0,1551182872.5693572
0.0,1000.0,1000.0,1551182872.5706902
0.0,1000.0,1000.0,1551182872.571831
0.0,1000.0,1000.0,1551182872.572916
0.0,1000.0,1000.0,1551182872.573853
0.0,1000.0,1000.0,1551182872.574791
0.0,950.0,1000.0,1551182872.575737
0.0,936.0,1000.0,1551182872.576691
0.0,920.0,1000.0,1551182872.5776541
0.0,904.0,1000.0,1551182872.57861
0.0,902.0,1000.0,1551182872.5795681
0.0,878.0,1000.0,1551182872.580529
0.0,874.0,1000.0,1551182872.5814881
0.0,781.0,1000.0,1551182872.5825438
0.0,709.0,1000.0,1551182872.5836642
0.0,696.0,1000.0,1551182872.584815
0.0,670.0,1000.0,1551182872.586285
0.0,615.0,1000.0,1551182872.5874429
0.0,615.0,1000.0,1551182872.5884778
0.0,577.0,1000.0,1551182872.5895019
0.0,560.0,1000.0,1551182872.590522
0.0,520.0,1000.0,1551182872.5914829
0.0,520.0,1000.0,1551182872.592444
0.0,514.0,1000.0,1551182872.593405
0.0,508.0,1000.0,1551182872.594365
0.0,490.0,1000.0,1551182872.5953321
0.0,482.0,1000.0,1551182872.596313
0.0,472.0,1000.0,1551182872.597345
0.0,456.0,1000.0,1551182872.598339
0.0,411.0,1000.0,1551182872.599324
0.0,392.0,1000.0,1551182872.600306
0.0,389.0,1000.0,1551182872.601307
0.0,388.0,1000.0,1551182872.60263
0.0,370.0,1000.0,1551182872.60371
0.0,328.0,1000.0,1551182872.604734
0.0,304.0,1000.0,1551182872.605799
0.0,300.0,1000.0,1551182872.606817
0.0,300.0,1000.0,1551182872.607806
0.0,287.0,1000.0,1551182872.608799
0.0,286.0,1000.0,1551182872.609789
0.0,274.0,1000.0,1551182872.610782
0.0,272.0,1000.0,1551182872.611775
0.0,268.0,1000.0,1551182872.6127849
0.0,262.0,1000.0,1551182872.613767
0.0,240.0,1000.0,1551182872.614749
0.0,232.0,1000.0,1551182872.615745
0.0,225.0,1000.0,1551182872.6168609
0.0,208.0,1000.0,1551182872.6178958
0.0,208.0,1000.0,1551182872.6190941
0.0,208.0,1000.0,1551182872.6202419
0.0,208.0,1000.0,1551182872.621372
0.0,200.0,1000.0,1551182872.622443
0.0,190.0,1000.0,1551182872.62354
0.0,188.0,1000.0,1551182872.624573
0.0,188.0,1000.0,1551182872.6255932
0.0,175.0,1000.0,1551182872.626612
0.0,140.0,1000.0,1551182872.627611
